FileType:PSCS_Data_Log
Description:
StartTime:Jul 23, 2024 3:16:03 PM
Sampling:1S
Record:ID,Voltage(mV),Current(mA)
Rec:0,35900,2920
Rec:1,35900,2920
Rec:2,35900,2920
Rec:3,35900,2920
Rec:4,35900,2920
Rec:5,35900,2920
Rec:6,35900,2920
Rec:7,35900,2920
Rec:8,35900,2920
Rec:9,35900,2920
Rec:10,35900,2920
Rec:11,35900,2920
Rec:12,35900,2920
Rec:13,35900,2920
Rec:14,35900,2920
Rec:15,35900,2920
Rec:16,35900,2920
Rec:17,28000,2270
Rec:18,24000,2010
Rec:19,24000,2010
Rec:20,24000,2010
Rec:21,24000,2010
Rec:22,23900,2020
Rec:23,23900,2020
Rec:24,23900,2020
Rec:25,23900,2020
Rec:26,23900,2020
Rec:27,23900,2020
Rec:28,23900,2020
Rec:29,23900,2020
Rec:30,23900,2020
Rec:31,23900,2020
Rec:32,23900,2020
Rec:33,23900,2020
Rec:34,23900,2020
Rec:35,23900,2020
Rec:36,23900,2020
Rec:37,23900,2020
Rec:38,23900,2020
Rec:39,23900,2020
Rec:40,23900,2020
Rec:41,23900,2020
Rec:42,23900,2020
Rec:43,23900,2020
Rec:44,23900,2020
Rec:45,23900,2020
Rec:46,23900,2020
Rec:47,23900,2020
Rec:48,23900,2020
Rec:49,23900,2020
Rec:50,23900,2020
Rec:51,23900,2020
Rec:52,23900,2020
Rec:53,23900,2020
Rec:54,23900,2020
Rec:55,23900,2020
Rec:56,23900,2020
Rec:57,23900,2020
Rec:58,23900,2020
Rec:59,23900,2020
Rec:60,23900,2020
Rec:61,23900,2020
Rec:62,23900,2020
Rec:63,23900,2020
Rec:64,23900,2020
Rec:65,23900,2020
Rec:66,23900,2020
Rec:67,23900,2020
Rec:68,23900,2020
Rec:69,23900,2020
Rec:70,23900,2020
Rec:71,23900,2020
Rec:72,23900,2020
Rec:73,23900,2020
Rec:74,23900,2020
Rec:75,23900,2020
Rec:76,23900,2020
Rec:77,23900,2020
Rec:78,35900,2940
Rec:79,35900,2940
Rec:80,35900,2920
Rec:81,35900,2920
Rec:82,35900,2920
Rec:83,35900,2920
Rec:84,35900,2920
Rec:85,35900,2920
Rec:86,35900,2920
Rec:87,35900,2920
Rec:88,35900,2920
Rec:89,35900,2920
Rec:90,35900,2920
Rec:91,35900,2920
Rec:92,35900,2920
Rec:93,35900,2920
Rec:94,35900,2920
Rec:95,35900,2920
Rec:96,35900,2920
Rec:97,35900,2920
Rec:98,35900,2920
Rec:99,35900,2920
Rec:100,35900,2920
Rec:101,35900,2920
Rec:102,35900,2920
Rec:103,35900,2920
Rec:104,35900,2920
Rec:105,35900,2920
Rec:106,35900,2920
Rec:107,35900,2920
Rec:108,35900,2920
Rec:109,35900,2920
Rec:110,35900,2920
Rec:111,35900,2920
Rec:112,35900,2920
Rec:113,35900,2920
Rec:114,35900,2920
Rec:115,35900,2920
Rec:116,35900,2920
Rec:117,35900,2920
Rec:118,35900,2920
Rec:119,35900,2920
Rec:120,35900,2920
Rec:121,35900,2920
Rec:122,35900,2920
Rec:123,35900,2920
Rec:124,35900,2920
Rec:125,35900,2920
Rec:126,35900,2920
Rec:127,35900,2920
Rec:128,35900,2920
Rec:129,35900,2920
Rec:130,35900,2920
Rec:131,35900,2920
Rec:132,35900,2920
Rec:133,35900,2920
Rec:134,35900,2920
Rec:135,35900,2920
Rec:136,35900,2920
Rec:137,35900,2920
